hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
18,2,00020053,特急,新宿,３,18:02,2025-09-06T18:02:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T17:48:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T17:52:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T18:02:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T18:45:00+09:00""}]"
18,12,00020035,特急,新宿,３,18:12,2025-09-06T18:12:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T18:10:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T18:12:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T18:52:00+09:00""}]"
18,22,00020054,特急,新宿,３,18:22,2025-09-06T18:22:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T18:07:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T18:12:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T18:22:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T19:05:00+09:00""}]"
18,32,00020036,特急,新宿,３,18:32,2025-09-06T18:32:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T18:28:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T18:32:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T19:11:00+09:00""}]"
18,42,00020055,特急,新宿,３,18:42,2025-09-06T18:42:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T18:27:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T18:32:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T18:42:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T19:25:00+09:00""}]"
18,52,00020037,特急,新宿,３,18:52,2025-09-06T18:52:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T18:47:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T18:52:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T19:32:00+09:00""}]"
19,2,00020056,特急,新宿,３,19:02,2025-09-06T19:02:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T18:47:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T18:52:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T19:02:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T19:45:00+09:00""}]"
19,11,00020038,特急,新宿,３,19:11,2025-09-06T19:11:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T19:08:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T19:11:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T19:51:00+09:00""}]"
19,20,00020057,特急,新宿,３,19:20,2025-09-06T19:20:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T19:05:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T19:08:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T19:20:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T20:06:00+09:00""}]"
19,32,00020001,特急,新宿,３,19:32,2025-09-06T19:32:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T19:30:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T19:32:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T20:12:00+09:00""}]"
19,42,00020058,特急,新宿,３,19:42,2025-09-06T19:42:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T19:28:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T19:32:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T19:42:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T20:25:00+09:00""}]"
19,52,00020003,特急,新宿,３,19:52,2025-09-06T19:52:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T19:50:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T19:52:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T20:32:00+09:00""}]"
20,1,00020059,特急,新宿,３,20:01,2025-09-06T20:01:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T19:46:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T19:51:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T20:01:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T20:45:00+09:00""}]"
20,12,00020005,特急,新宿,３,20:12,2025-09-06T20:12:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T20:10:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T20:12:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T20:52:00+09:00""}]"
20,22,0002005a,特急,新宿,３,20:22,2025-09-06T20:22:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T20:06:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T20:11:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T20:22:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T21:06:00+09:00""}]"
20,33,00020007,特急,新宿,３,20:33,2025-09-06T20:33:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T20:30:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T20:33:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T21:12:00+09:00""}]"
20,46,0002005b,特急,新宿,３,20:46,2025-09-06T20:46:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T20:33:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T20:36:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T20:46:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T21:27:00+09:00""}]"
20,58,00020009,特急,新宿,３,20:58,2025-09-06T20:58:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T20:52:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T20:58:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T21:37:00+09:00""}]"
21,10,0002005c,特急,新宿,３,21:10,2025-09-06T21:10:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T20:55:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T20:58:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T21:10:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T21:53:00+09:00""}]"
21,23,0002000b,特急,新宿,３,21:23,2025-09-06T21:23:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T21:17:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T21:23:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T22:06:00+09:00""}]"
21,34,0002008a,急行,新宿,３,21:34,2025-09-06T21:34:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T21:28:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T21:34:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T22:19:00+09:00""}]"
21,46,0002000d,特急,新宿,３,21:46,2025-09-06T21:46:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T21:40:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T21:46:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T22:27:00+09:00""}]"
23,35,0002000f,特急,新宿,３,23:35,2025-09-06T23:35:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T23:32:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T23:35:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T00:12:00+09:00""}]"
