hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
17,1,80020277,特急,京王八王子,３,17:01,2025-09-08T17:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T17:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T17:44:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T17:47:00+09:00""}]"
17,11,80020278,特急,京王八王子,３,17:11,2025-09-08T17:11:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T17:11:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T17:52:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T17:55:00+09:00""}]"
17,21,80020279,特急,京王八王子,３,17:21,2025-09-08T17:21:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T17:21:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T18:02:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T18:05:00+09:00""}]"
17,32,8002027a,特急,京王八王子,３,17:32,2025-09-08T17:32:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T17:32:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T18:13:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T18:16:00+09:00""}]"
17,41,8002027b,特急,京王八王子,３,17:41,2025-09-08T17:41:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T17:41:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T18:23:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T18:26:00+09:00""}]"
17,51,8002027c,特急,京王八王子,３,17:51,2025-09-08T17:51:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T17:51:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T18:33:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T18:35:00+09:00""}]"
18,1,8002027d,特急,京王八王子,３,18:01,2025-09-08T18:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T18:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T18:45:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T18:48:00+09:00""}]"
18,10,8002027e,特急,京王八王子,３,18:10,2025-09-08T18:10:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T18:10:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T18:53:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T18:56:00+09:00""}]"
18,21,8002027f,特急,京王八王子,３,18:21,2025-09-08T18:21:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T18:21:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T19:03:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T19:05:00+09:00""}]"
18,32,80020280,特急,京王八王子,３,18:32,2025-09-08T18:32:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T18:32:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T19:13:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T19:15:00+09:00""}]"
