hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
15,7,00040015,特急,新宿,１,15:07,2025-09-07T15:07:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T15:07:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T15:10:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T15:21:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T16:06:00+09:00""}]"
15,15,0004006b,Mt.TAKAO号,新宿,２,15:15,2025-09-07T15:15:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T15:15:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T15:17:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T15:26:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T16:07:00+09:00""}]"
15,17,0004004c,各駅停車,新宿,１,15:17,2025-09-07T15:17:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T15:17:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T15:21:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T15:34:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T16:46:00+09:00""}]"
15,29,00040016,特急,新宿,１,15:29,2025-09-07T15:29:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T15:29:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T15:32:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T15:42:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T16:24:00+09:00""}]"
15,37,0004004d,各駅停車,新宿,２,15:37,2025-09-07T15:37:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T15:37:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T15:41:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T15:55:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T17:07:00+09:00""}]"
15,49,00040017,特急,新宿,１,15:49,2025-09-07T15:49:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T15:49:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T15:52:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T16:03:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T16:43:00+09:00""}]"
15,57,0004004e,各駅停車,新宿,１,15:57,2025-09-07T15:57:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T15:57:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T16:02:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T16:14:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T17:28:00+09:00""}]"
16,6,0004004f,各駅停車,新宿,１,16:06,2025-09-07T16:06:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T16:06:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T16:09:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T16:27:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T17:36:00+09:00""}]"
16,15,0004006c,Mt.TAKAO号,新宿,２,16:15,2025-09-07T16:15:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T16:15:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T16:17:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T16:26:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T17:09:00+09:00""}]"
16,17,00040050,各駅停車,新宿,１,16:17,2025-09-07T16:17:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T16:17:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T16:21:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T16:34:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T17:46:00+09:00""}]"
16,28,00040051,各駅停車,新宿,２,16:28,2025-09-07T16:28:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T16:28:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T16:31:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T16:44:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T17:58:00+09:00""}]"
16,37,00040052,各駅停車,新宿,２,16:37,2025-09-07T16:37:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T16:37:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T16:40:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T16:53:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T18:07:00+09:00""}]"
16,47,00040018,特急,新宿,１,16:47,2025-09-07T16:47:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T16:47:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T16:51:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T17:01:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T17:43:00+09:00""}]"
16,56,00040053,各駅停車,新宿,１,16:56,2025-09-07T16:56:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T16:56:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T17:00:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T17:14:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T18:27:00+09:00""}]"
